,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
87,kahului,US,79.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
89,nueva guinea,NI,70.36,scattered clouds,11.6876,-84.4562,Posadita La Reyna
90,hami,CN,40.48,few clouds,42.8,93.45,Laoyutang Resort
92,san patricio,US,56.84,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
93,porbandar,IN,89.58,clear sky,21.6422,69.6093,Lords Inn Porbandar
94,port alfred,ZA,69.19,overcast clouds,-33.5906,26.891,The Halyards Hotel & Spa
95,flinders,AU,58.37,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
96,suicheng,CN,59.99,overcast clouds,33.8963,117.9331,Junyue Hotel
97,hobart,AU,57.25,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
98,baracoa,CU,77.52,broken clouds,20.3467,-74.4958,Hostal Rio Miel
100,mantua,IT,56.01,broken clouds,45.1667,10.7833,Hotel la Favorita
101,sur,OM,86.2,clear sky,22.5667,59.5289,Sur Plaza Hotel
102,vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
103,katete,UG,67.75,light rain,-0.7818,29.7544,
104,cairns,AU,82.11,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
105,isangel,VU,78.82,scattered clouds,-19.55,169.2667,Tanna Lodge
106,eha amufu,NG,84.61,scattered clouds,6.6592,7.7596,Eden Resort
107,codrington,AU,62.65,overcast clouds,-38.2667,141.9667,
108,sitka,US,37.29,clear sky,57.0531,-135.33,Westmark Sitka
109,naspur,IN,83.21,clear sky,18.8333,79.45,Hotel Vaibhav
111,pimentel,PE,62.19,broken clouds,-6.8367,-79.9342,Hotel Puerto del Sol
112,nizwa,OM,87.28,clear sky,22.9333,57.5333,Orient Apartments
114,barra do bugres,BR,67.41,clear sky,-15.0725,-57.1811,Hotel 4AM Petrofurt
115,kapaa,US,75.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
116,bubaque,GW,81.32,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
117,cayenne,GF,71.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
120,halifax,CA,33.8,few clouds,44.6453,-63.5724,Hotel Halifax
121,arshan,RU,53.98,few clouds,46.2732,44.22,Guest House The Green Village
123,padang,ID,82.45,light rain,-0.9492,100.3543,Mercure Padang
124,san ignacio,BZ,67.8,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
126,geraldton,AU,64.81,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
127,mahebourg,MU,80.89,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
128,monte alegre,BR,75.51,scattered clouds,-2.0078,-54.0692,Hotel Shekinah
129,inyonga,TZ,79.41,light rain,-6.7167,32.0667,Eden Rock Lodge
131,mount gambier,AU,58.08,light rain,-37.8333,140.7667,The Commodore
132,bembereke,BJ,86.36,clear sky,10.2283,2.6634,Hotel Bio Guera
133,margate,GB,48.9,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
134,aksu,CN,47.34,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
136,wuwei,CN,38.95,clear sky,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
138,comodoro rivadavia,AR,64.26,clear sky,-45.8667,-67.5,Austral Hotel
139,arraial do cabo,BR,66.16,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
140,butaritari,KI,80.82,broken clouds,3.0707,172.7902,Isles Sunset Lodge
141,the valley,AI,80.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
142,taranagar,IN,79.12,clear sky,28.6709,75.0351,Jyani Plaza
143,chicama,PE,59.54,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
144,kruisfontein,ZA,67.41,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
145,kodiak,US,42.31,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
151,lagoa,PT,60.85,scattered clouds,39.05,-27.9833,Casa Das Faias
152,kampene,CD,80.82,overcast clouds,-3.6,26.6667,
153,klaksvik,FO,47.32,overcast clouds,62.2266,-6.589,Airbnb rooms
154,vila,PT,40.69,scattered clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
155,kalmunai,LK,79.97,overcast clouds,7.4167,81.8167,VS Villa
157,bridlington,GB,49.89,overcast clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
158,santiago,CL,66.85,clear sky,-33.4569,-70.6483,Hotel Panamericano
159,miri,MY,84.34,light rain,4.4148,114.0089,"Mega Hotel, Miri"
160,praia da vitoria,PT,57.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
161,shache,CN,52.38,broken clouds,38.4167,77.2406,Delong Hotel
162,mar del plata,AR,61.95,mist,-38.0023,-57.5575,Gran Hotel Mar del Plata
163,boende,CD,71.56,overcast clouds,-0.2167,20.8667,
164,porterville,US,52.75,clear sky,36.0652,-119.0168,"Holiday Inn Express & Suites Porterville, an IHG Hotel"
165,marsa matruh,EG,75.4,clear sky,31.3525,27.2453,Beau Site
166,roald,NO,50.14,clear sky,62.5833,6.1333,Flem Cabins
168,castro,BR,52.83,clear sky,-24.7911,-50.0119,CHACARA BAILLY
169,saint-georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
171,west bay,KY,80.01,overcast clouds,19.3667,-81.4167,Calypso Cove
172,tokmak,UA,40.46,overcast clouds,47.2514,35.7058,Дом приезжих
173,kousseri,CM,87.76,clear sky,12.0769,15.0306,Le Pilotis
174,ayni,TJ,48.18,overcast clouds,39.3941,68.5377,Dilovars Homestay
175,banda aceh,ID,82.81,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
176,hasaki,JP,52.21,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
177,ostrovnoy,RU,35.33,overcast clouds,68.0531,39.5131,
178,pecs,HU,46.36,light rain,46.0833,18.2333,Hotel Palatinus
180,guerrero negro,MX,60.08,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
181,rosetta,EG,72.95,clear sky,31.4044,30.4164,Green Valley
182,dunedin,NZ,55.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
184,glens falls,US,31.14,overcast clouds,43.3095,-73.644,Super 8 by Wyndham Queensbury Glens Falls/Lake George Area
185,redwater,US,39.33,few clouds,33.3582,-94.2544,Nettles Nest Country Inn
186,bondo,CD,88.97,broken clouds,3.8146,23.6866,
187,ketchikan,US,34.14,scattered clouds,55.3422,-131.6461,Snow's Cove Lodge
188,ugoofaaru,MV,82.24,broken clouds,5.6667,73.0,Ungoofaaru Inn
189,clonakilty,IE,43.81,broken clouds,51.6231,-8.8706,Inchydoney Island Lodge & Spa
190,bani,DO,75.85,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
191,agadez,NE,74.43,clear sky,19.75,10.25,
192,vao,NC,73.49,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
193,russell,US,31.01,clear sky,32.3502,-85.1999,Macs
197,bengkulu,ID,78.76,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
198,mount isa,AU,85.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
199,vila velha,BR,71.94,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
200,byron bay,AU,62.71,clear sky,-28.65,153.6167,Backpackers Inn
202,tamiahua,MX,58.95,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
203,yulara,AU,87.15,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
205,wawa,NG,87.22,few clouds,9.9022,4.4192,
206,salalah,OM,82.63,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
207,talcahuano,CL,56.88,few clouds,-36.7167,-73.1167,departamento comodo
209,sabang,ID,82.15,overcast clouds,5.8933,95.3214,Hotel Citra
210,sakakah,SA,62.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
211,tanout,NE,79.12,broken clouds,14.9709,8.8879,
214,vila franca do campo,PT,58.19,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
215,alta floresta,BR,70.48,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
216,wanning,CN,77.16,few clouds,18.8003,110.3967,Paradise Hotel
217,rio gallegos,AR,39.25,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
218,fortuna,US,43.72,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
221,basco,PH,81.45,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
222,makakilo city,US,73.56,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
